id,id_educational_center,id_geographical_area,id_market,id_country
1,3,1,1,1
2,14,1,1,1
3,13,1,1,1
4,7,1,1,1
5,4,1,1,1
6,15,1,1,1
7,12,1,1,1
8,9,1,1,1
9,101,1,1,1
10,6,1,1,1
11,8,1,1,1
12,10,1,1,1
13,11,1,1,1
14,1,1,1,1
15,2,2,5,1
16,3,1,1,2
17,14,1,1,2
18,13,1,1,2
19,7,1,1,2
20,4,1,1,2
21,15,1,1,2
22,12,1,1,2
23,9,1,1,2
24,101,1,1,2
25,6,1,1,2
26,8,1,1,2
27,10,1,1,2
28,11,1,1,2
29,1,1,1,2
30,2,2,5,2
31,3,1,1,3
32,14,1,1,3
33,13,1,1,3
34,7,1,1,3
35,4,1,1,3
36,15,1,1,3
37,12,1,1,3
38,9,1,1,3
39,101,1,1,3
40,6,1,1,3
41,8,1,1,3
42,10,1,1,3
43,11,1,1,3
44,1,1,1,3
45,2,2,5,3
46,3,2,5,4
47,14,2,5,4
48,13,2,5,4
49,7,2,5,4
50,4,2,5,4
51,15,2,5,4
52,12,2,5,4
53,9,2,5,4
54,101,2,5,4
55,6,2,5,4
56,8,2,5,4
57,10,2,5,4
58,11,2,5,4
59,1,2,5,4
60,2,2,5,4
61,3,2,5,5
62,14,2,5,5
63,13,2,5,5
64,7,2,5,5
65,4,2,5,5
66,15,2,5,5
67,12,2,5,5
68,9,2,5,5
69,101,2,5,5
70,6,2,5,5
71,8,2,5,5
72,10,2,5,5
73,11,2,5,5
74,1,2,5,5
75,2,2,5,5
76,3,1,1,6
77,14,1,1,6
78,13,1,1,6
79,7,1,1,6
80,4,1,1,6
81,15,1,1,6
82,12,1,1,6
83,9,1,1,6
84,101,1,1,6
85,6,1,1,6
86,8,1,1,6
87,10,1,1,6
88,11,1,1,6
89,1,1,1,6
90,2,2,5,6
91,3,1,1,7
92,14,1,1,7
93,13,1,1,7
94,7,1,1,7
95,4,1,1,7
96,15,1,1,7
97,12,1,1,7
98,9,1,1,7
99,101,1,1,7
100,6,1,1,7
101,8,1,1,7
102,10,1,1,7
103,11,1,1,7
104,1,1,1,7
105,2,2,5,7
106,3,2,5,8
107,14,2,5,8
108,13,2,5,8
109,7,2,5,8
110,4,2,5,8
111,15,2,5,8
112,12,2,5,8
113,9,2,5,8
114,101,2,5,8
115,6,2,5,8
116,8,2,5,8
117,10,2,5,8
118,11,2,5,8
119,1,2,5,8
120,2,2,5,8
121,3,1,1,9
122,14,1,1,9
123,13,1,1,9
124,7,1,1,9
125,4,1,1,9
126,15,1,1,9
127,12,1,1,9
128,9,1,1,9
129,101,1,1,9
130,6,1,1,9
131,8,1,1,9
132,10,1,1,9
133,11,1,1,9
134,1,1,1,9
135,2,2,5,9
136,3,1,1,10
137,14,1,1,10
138,13,1,1,10
139,7,1,1,10
140,4,1,1,10
141,15,1,1,10
142,12,1,1,10
143,9,1,1,10
144,101,1,1,10
145,6,1,1,10
146,8,1,1,10
147,10,1,1,10
148,11,1,1,10
149,1,1,1,10
150,2,2,5,10
151,3,2,5,11
152,14,2,5,11
153,13,2,5,11
154,7,2,5,11
155,4,2,5,11
156,15,2,5,11
157,12,2,5,11
158,9,2,5,11
159,101,2,5,11
160,6,2,5,11
161,8,2,5,11
162,10,2,5,11
163,11,2,5,11
164,1,2,11,11
165,2,2,5,11
166,3,1,1,12
167,14,1,1,12
168,13,1,1,12
169,7,1,1,12
170,4,1,1,12
171,15,1,1,12
172,12,1,1,12
173,9,1,1,12
174,101,1,1,12
175,6,1,1,12
176,8,1,1,12
177,10,1,1,12
178,11,1,1,12
179,1,1,1,12
180,2,2,5,12
181,3,1,1,13
182,14,1,1,13
183,13,1,1,13
184,7,1,1,13
185,4,1,1,13
186,15,1,1,13
187,12,1,1,13
188,9,1,1,13
189,101,1,1,13
190,6,1,1,13
191,8,1,1,13
192,10,1,1,13
193,11,1,1,13
194,1,1,1,13
195,2,2,5,13
196,3,1,1,14
197,14,1,1,14
198,13,1,1,14
199,7,1,1,14
200,4,1,1,14
201,15,1,1,14
202,12,1,1,14
203,9,1,1,14
204,101,1,1,14
205,6,1,1,14
206,8,1,1,14
207,10,1,1,14
208,11,1,1,14
209,1,1,1,14
210,2,2,5,14
211,3,2,5,15
212,14,2,5,15
213,13,2,5,15
214,7,2,5,15
215,4,2,5,15
216,15,2,5,15
217,12,2,5,15
218,9,2,5,15
219,101,2,5,15
220,6,2,5,15
221,8,2,5,15
222,10,2,5,15
223,11,2,5,15
224,1,2,5,15
225,2,2,5,15
226,3,1,1,16
227,14,1,1,16
228,13,1,1,16
229,7,1,1,16
230,4,1,1,16
231,15,1,1,16
232,12,1,1,16
233,9,1,1,16
234,101,1,1,16
235,6,1,1,16
236,8,1,1,16
237,10,1,1,16
238,11,1,1,16
239,1,1,1,16
240,2,2,5,16
241,3,1,1,17
242,14,1,1,17
243,13,1,1,17
244,7,1,1,17
245,4,1,1,17
246,15,1,1,17
247,12,1,1,17
248,9,1,1,17
249,101,1,1,17
250,6,1,1,17
251,8,1,1,17
252,10,1,1,17
253,11,1,1,17
254,1,1,1,17
255,2,2,5,17
256,3,2,5,18
257,14,2,5,18
258,13,2,5,18
259,7,2,5,18
260,4,2,5,18
261,15,2,5,18
262,12,2,5,18
263,9,2,5,18
264,101,2,5,18
265,6,2,5,18
266,8,2,5,18
267,10,2,5,18
268,11,2,5,18
269,1,2,5,18
270,2,2,5,18
271,3,1,1,19
272,14,1,1,19
273,13,1,1,19
274,7,1,1,19
275,4,1,1,19
276,15,1,1,19
277,12,1,1,19
278,9,1,1,19
279,101,1,1,19
280,6,1,1,19
281,8,1,1,19
282,10,1,1,19
283,11,1,1,19
284,1,1,1,19
285,2,2,5,19
286,3,1,1,20
287,14,1,1,20
288,13,1,1,20
289,7,1,1,20
290,4,1,1,20
291,15,1,1,20
292,12,1,1,20
293,9,1,1,20
294,101,1,1,20
295,6,1,1,20
296,8,1,1,20
297,10,1,1,20
298,11,1,1,20
299,1,1,1,20
300,2,2,5,20
301,3,1,1,21
302,14,1,1,21
303,13,1,1,21
304,7,1,1,21
305,4,1,1,21
306,15,1,1,21
307,12,1,1,21
308,9,1,1,21
309,101,1,1,21
310,6,1,1,21
311,8,1,1,21
312,10,1,1,21
313,11,1,1,21
314,1,1,1,21
315,2,2,5,21
316,3,1,1,22
317,14,1,1,22
318,13,1,1,22
319,7,1,1,22
320,4,1,1,22
321,15,1,1,22
322,12,1,1,22
323,9,1,1,22
324,101,1,1,22
325,6,1,1,22
326,8,1,1,22
327,10,1,1,22
328,11,1,1,22
329,1,1,1,22
330,2,2,5,22
331,3,1,1,23
332,14,1,1,23
333,13,1,1,23
334,7,1,1,23
335,4,1,1,23
336,15,1,1,23
337,12,1,1,23
338,9,1,1,23
339,101,1,1,23
340,6,1,1,23
341,8,1,1,23
342,10,1,1,23
343,11,1,1,23
344,1,1,1,23
345,2,2,5,23
346,3,1,1,24
347,14,1,1,24
348,13,1,1,24
349,7,1,1,24
350,4,1,1,24
351,15,1,1,24
352,12,1,1,24
353,9,1,1,24
354,101,1,1,24
355,6,1,1,24
356,8,1,1,24
357,10,1,1,24
358,11,1,1,24
359,1,1,1,24
360,2,2,5,24
361,3,1,1,25
362,14,1,1,25
363,13,1,1,25
364,7,1,1,25
365,4,1,1,25
366,15,1,1,25
367,12,1,1,25
368,9,1,1,25
369,101,1,1,25
370,6,1,1,25
371,8,1,1,25
372,10,1,1,25
373,11,1,1,25
374,1,1,1,25
375,2,2,5,25
376,3,2,5,26
377,14,2,5,26
378,13,2,5,26
379,7,2,5,26
380,4,2,5,26
381,15,2,5,26
382,12,2,5,26
383,9,2,5,26
384,101,2,5,26
385,6,2,5,26
386,8,2,5,26
387,10,2,5,26
388,11,2,5,26
389,1,2,5,26
390,2,2,5,26
391,3,1,1,27
392,14,1,1,27
393,13,1,1,27
394,7,1,1,27
395,4,1,1,27
396,15,1,1,27
397,12,1,1,27
398,9,1,1,27
399,101,1,1,27
400,6,1,1,27
401,8,1,1,27
402,10,1,1,27
403,11,1,1,27
404,1,1,1,27
405,2,2,5,27
406,3,2,5,28
407,14,2,5,28
408,13,2,5,28
409,7,2,5,28
410,4,2,5,28
411,15,2,5,28
412,12,2,5,28
413,9,2,5,28
414,101,2,5,28
415,6,2,5,28
416,8,2,10,28
417,10,2,5,28
418,11,2,5,28
419,1,2,5,28
420,2,2,5,28
421,3,2,5,29
422,14,2,5,29
423,13,2,5,29
424,7,2,5,29
425,4,2,5,29
426,15,2,5,29
427,12,2,5,29
428,9,2,5,29
429,101,2,5,29
430,6,2,5,29
431,8,2,5,29
432,10,2,5,29
433,11,2,5,29
434,1,2,5,29
435,2,2,5,29
436,3,2,5,30
437,14,2,5,30
438,13,2,5,30
