id,name,abbreviation
1,banco-pichincha,BANCO-PICHINCHA
2,BECA IMPULSA CULTURA,BECA-IMPCULT
3,BECA-ALIANZA,BECA-ALIANZA
4,BECA-AMIGOS,BECA-AMIGOS
5,Beca-Bankia,BECA-BANKIA
6,BECA-BIENSTAR,BECA-BIENSTAR
7,BECA-BUSINESSTAR,BECA-BUSINESSTAR
8,BECA-CAME,BECA-CAME
9,Beca-CESANTIAS,Beca-CESANTIAS
10,BECA-CULTURESTAR,BECA-CULTURESTAR
11,Beca-Excelencia,BECA-EXCELENCIA
12,Beca-FP-Adelante,BECA-FP-ADELANT
13,Beca-FP-Fidelizacion,BECA-FP-FIDELIZ
14,Beca-FUNCIÓN PÚBLICA,Beca-FPUBLICA
15,BECA-FUTUROSTAR,BECA-FUTUROSTAR
16,BECA-HORACIO-ZEBALLOS-GAME,BECA-HZGAME
17,Beca-Icetex,BECA-ICETEX
18,Beca-JMiranda,BECA-JMIRANDA
19,Beca-Justicia,Beca-Justicia
20,BECA-LALIBERTAD,BECA-LALIBERTAD
21,BECA-LEGALSTAR,BECA-LEGALSTAR
22,Beca-Mescyt,BECA-MESCYT
23,Beca-MINEDUC,Beca-MINEDUC
24,Beca-Mujer,BECA-MUJER
25,Beca-OIJ,BECA-OIJ
26,Beca-PACCARI,Beca-PACCARI
27,BECA-PIURA,BECA-PIURA
28,Becas,BECA
29,Beca-SANTILLANA,Beca-SANTILL
30,Beca-SENESCYT,Beca-SENESCYT
31,Becas-Heroes en el aula,BECA-HAULA
32,Becas-InstitutosTecnologicos,BECA-ITEC
33,Becas-OEA,BECA-OEA
34,Becas-OEI,BECA-OEI
35,BECA-STAR,BECA-STAR
36,BECA-TECHTALENT,BECA-TECHTALENT
37,Beca-TRINIDAD,BECA-TRINI
38,Beca-Vargas,BECA-VARGAS
39,Bonificada,BONF
40,Convenio-FP,CONV-FP
41,Creciendo,CRECIENDO
42,Descuento,DCTO
43,Empresa,EMPRESA
44,ESIT,ESIT
45,Executive,EXECUT
46,FeriaEmpleo,FERIA
47,FUERZA,FUERZA
48,Grados,GRADOS
49,ImpactLearning,IMPACT
50,MIX,MIX
51,N\A,X
52,Newsletter,NEWS
53,Palanca,PL
54,Palanca-4P,PL-4P
55,Palanca-Avales,PL-AVL
56,Palanca-Certificaciones,PL-CERT
57,Palanca-CUA,PL-CUA
58,Palanca-ECOES,PL-ECOES
59,Palanca-GlobalProgram,PL-GP
60,Palanca-Graduación,PL-GRAD
61,Palanca-Herramientas,PL-HTAS
62,Palanca-Menciones,PL-MENC
63,Palanca-MIU,PL-MIU
64,Palanca-Oposiciones,PL-OPOS
65,Palanca-Partners,PL-PART
66,Palanca-PlanAhora,PL-PLAH
67,Palanca-Practicas,PL-PRAC
68,Palanca-Reconocimientos,PL-RECON
69,Palanca-RedProyectum,PL-REDPROY
70,Palanca-Taller,PL-TALLER
71,Palanca-Testimonial,PL-TESTI
72,Palanca-Viveros,PL-VIV
73,Plan-Ahora,AHORA
74,Producto,PROD
75,Siempre,SIEMPRE
76,ToDo,TO-DO
77,Ultimas Plazas,ULTPLAZAS
