id,old_channel,new_channel,support_id
1,Adwords Busqueda,1,71
2,Adwords Display,2,72
3,Adwords Display,2,73
4,Adwords Display,2,74
5,Adwords Display,2,75
6,Adwords For Video,3,72
7,Adwords For Video,3,160
8,Adwords Remarketing,2,72
9,Adwords Remarketing,2,73
10,Adwords Remarketing,2,74
11,Adwords Remarketing,2,75
12,Adwords Remarketing,1,71
13,Bing,2,20
14,Bing,1,19
15,Display Branding,4,13
16,Display Branding,4,21
17,Display Branding,4,45
18,Display Branding,4,49
19,Display Branding,4,91
20,Display Branding,4,94
21,Display Branding,4,98
22,Display Branding,4,108
23,Display Branding,4,115
24,Display Branding,4,127
25,Display Branding,4,136
26,Display Branding,4,137
27,Display Branding,4,156
28,Display Branding,2,5
29,Display Branding,2,6
30,Display Branding,2,7
31,Display Branding,2,9
32,Display Branding,2,15
33,Display Branding,2,21
34,Display Branding,2,22
35,Display Branding,2,25
36,Display Branding,2,27
37,Display Branding,2,29
38,Display Branding,2,33
39,Display Branding,2,34
40,Display Branding,2,35
41,Display Branding,2,36
42,Display Branding,2,40
43,Display Branding,2,41
44,Display Branding,2,42
45,Display Branding,2,44
46,Display Branding,2,45
47,Display Branding,2,46
48,Display Branding,2,47
49,Display Branding,2,48
50,Display Branding,2,49
51,Display Branding,2,52
52,Display Branding,2,53
53,Display Branding,2,54
54,Display Branding,2,55
55,Display Branding,2,56
56,Display Branding,2,58
57,Display Branding,2,59
58,Display Branding,2,63
59,Display Branding,2,69
60,Display Branding,2,70
61,Display Branding,2,76
62,Display Branding,2,77
63,Display Branding,2,79
64,Display Branding,2,84
65,Display Branding,2,87
66,Display Branding,2,90
67,Display Branding,2,93
68,Display Branding,2,94
69,Display Branding,2,95
70,Display Branding,2,98
71,Display Branding,2,102
72,Display Branding,2,103
73,Display Branding,2,105
74,Display Branding,2,106
75,Display Branding,2,107
76,Display Branding,2,108
77,Display Branding,2,109
78,Display Branding,2,110
79,Display Branding,2,112
80,Display Branding,2,113
81,Display Branding,2,114
82,Display Branding,2,115
83,Display Branding,2,118
84,Display Branding,2,119
85,Display Branding,2,121
86,Display Branding,2,122
87,Display Branding,2,123
88,Display Branding,2,124
89,Display Branding,2,125
90,Display Branding,2,126
91,Display Branding,2,127
92,Display Branding,2,128
93,Display Branding,2,129
94,Display Branding,2,130
95,Display Branding,2,134
96,Display Branding,2,135
97,Display Branding,2,137
98,Display Branding,2,138
99,Display Branding,2,139
100,Display Branding,2,141
101,Display Branding,2,144
102,Display Branding,2,147
103,Display Branding,2,148
104,Display Branding,2,151
105,Display Branding,2,153
106,Display Branding,2,154
107,Display Branding,2,156
108,Display Branding,2,157
109,Display Branding,2,158
110,Display Branding,3,49
111,Display Branding,3,56
112,Display Branding,3,108
113,Display Branding,3,137
114,Display Branding,3,160
115,Display Específico,4,13
116,Display Específico,4,21
117,Display Específico,4,45
118,Display Específico,4,49
119,Display Específico,4,91
120,Display Específico,4,94
121,Display Específico,4,98
122,Display Específico,4,108
123,Display Específico,4,115
124,Display Específico,4,127
125,Display Específico,4,136
126,Display Específico,4,137
127,Display Específico,4,156
128,Display Específico,2,5
129,Display Específico,2,6
130,Display Específico,2,7
131,Display Específico,2,9
132,Display Específico,2,15
133,Display Específico,2,21
134,Display Específico,2,22
135,Display Específico,2,25
136,Display Específico,2,27
137,Display Específico,2,29
138,Display Específico,2,33
139,Display Específico,2,34
140,Display Específico,2,35
141,Display Específico,2,36
142,Display Específico,2,40
143,Display Específico,2,41
144,Display Específico,2,42
145,Display Específico,2,44
146,Display Específico,2,45
147,Display Específico,2,46
148,Display Específico,2,47
149,Display Específico,2,48
150,Display Específico,2,49
151,Display Específico,2,52
152,Display Específico,2,53
153,Display Específico,2,54
154,Display Específico,2,55
155,Display Específico,2,56
156,Display Específico,2,58
157,Display Específico,2,59
158,Display Específico,2,63
159,Display Específico,2,69
160,Display Específico,2,70
161,Display Específico,2,76
162,Display Específico,2,77
163,Display Específico,2,79
164,Display Específico,2,84
165,Display Específico,2,87
166,Display Específico,2,90
167,Display Específico,2,93
168,Display Específico,2,94
169,Display Específico,2,95
170,Display Específico,2,98
171,Display Específico,2,102
172,Display Específico,2,103
173,Display Específico,2,105
174,Display Específico,2,106
175,Display Específico,2,107
176,Display Específico,2,108
177,Display Específico,2,109
178,Display Específico,2,110
179,Display Específico,2,112
180,Display Específico,2,113
181,Display Específico,2,114
182,Display Específico,2,115
183,Display Específico,2,118
184,Display Específico,2,119
185,Display Específico,2,121
186,Display Específico,2,122
187,Display Específico,2,123
188,Display Específico,2,124
189,Display Específico,2,125
190,Display Específico,2,126
191,Display Específico,2,127
192,Display Específico,2,128
193,Display Específico,2,129
194,Display Específico,2,130
195,Display Específico,2,134
196,Display Específico,2,135
197,Display Específico,2,137
198,Display Específico,2,138
199,Display Específico,2,139
200,Display Específico,2,141
201,Display Específico,2,144
202,Display Específico,2,147
203,Display Específico,2,148
204,Display Específico,2,151
205,Display Específico,2,153
206,Display Específico,2,154
207,Display Específico,2,156
208,Display Específico,2,157
209,Display Específico,2,158
210,Display Específico,3,43
211,Display Específico,3,49
212,Display Específico,3,56
213,Display Específico,3,108
214,Display Específico,3,137
215,Display Específico,3,140
216,Display Específico,3,160
217,Display Genérico,4,13
