id,name,abbreviation
1,24CUOTAS,24CUOTAS
2,ADMON-FINANZAS,ADMON-FINANZAS
3,ALTAS-CAPACIDADES,ALTAS-CAPACIDADES
4,ANUIES,ANUIES
5,ANUIES-V1,ANUIES-V1
6,ANUIES-V2,ANUIES-V2
7,ANUIES-V3,ANUIES-V3
8,ANUIES-V4,ANUIES-V4
9,AREA,AREA
10,ASIR,ASIR
11,ASIR-DAW-DAM,ASIR-DAW-DAM
12,BECA IMPULSA CULTURA,BECA-IMPCULT
13,BECA-ALIANZA,BECA-ALIANZA
14,BECA-AMIGOS,BECA-AMIGOS
15,Beca-Bankia,BECA-BANKIA
16,Beca-CESANITAS,BECA-CESANITAS
17,Beca-FPublica-Secretario,BECA-FPPUB-SECRET
18,Beca-FUNCIÓN PÚBLICA,BECA-FPUBLICA
19,BECA-HORACIO-ZEBALLOS-GAME,BECA-HZGAME
20,Beca-Icetex,BECA-ICETEX
21,BECA-ICETEX-CHICA,BECA-ICETEX-CHICA
22,BECA-ICETEX-CHICA-V1,BECA-ICETEX-CHICA-V1
23,BECA-ICETEX-CHICA-V2,BECA-ICETEX-CHICA-V2
24,BECA-ICETEX-CHICO,BECA-ICETEX-CHICO
25,BECA-ICETEX-CHICO-V1,BECA-ICETEX-CHICO-V1
26,BECA-ICETEX-CHICO-V2,BECA-ICETEX-CHICO-V2
27,BECA-ICETEX-V1,BECA-ICETEX-V1
28,BECA-ICETEX-V2,BECA-ICETEX-V2
29,Beca-JMiranda,BECA-JMIRANDA
30,Beca-Justicia,Beca-Justicia
31,Beca-Mescyt,BECA-MESCYT
32,Beca-MINEDUC,BECA-MINEDUC
33,Beca-Mujer,BECA-MUJER
34,BECA-OEA-CHICA,BECA-OEA-CHICA
35,BECA-OEA-CHICO,BECA-OEA-CHICO
36,Beca-OIJ,BECA-OIJ
37,Beca-PACCARI,BECA-PACCARI
38,Becas,BECA
39,Beca-SANTILLANA,BECA-SANTILL
40,Beca-SENESCYT,BECA-SENESCYT
41,Becas-Excelencia-V1,BECA-EXCELENCIA-V1
42,Becas-Excelencia-V2,BECA-EXCELENCIA-V2
43,BecasMIU-1,BECAMIU-1
44,BecasMIU-2,BECAMIU-2
45,BecasMIU-3,BECAMIU-3
46,Becas-OEA,BECA-OEA
47,Becas-OEI,BECA-OEI
48,BECA-TECHTALENT,BECA-TECHTALENT
49,BECA-TERRITORIO,BECA-TERRITORIO
50,BECA-TERRITORIO-HOMBRE,BECA-TERRITORIO-H
51,BECA-TERRITORIO-MUJER,BECA-TERRITORIO-M
52,BECA-TERRITORIO-V1,BECA-TERRITORIO-V1
53,BECA-TERRITORIO-V2,BECA-TERRITORIO-V2
54,BECA-TERRITORIO-V3,BECA-TERRITORIO-V3
55,BECA-TERRITORIO-V4,BECA-TERRITORIO-V4
56,Beca-TRINIDAD,BECA-TRINI
57,Beca-Vargas,BECA-VARGAS
58,Beca-Vargas-V1,BECA-VARGAS-V1
59,Beca-Vargas-V2,BECA-VARGAS-V2
60,BOOTCAMP EN IA,BOOTCAMP-IA
61,CALIDAD-EUROPEA,CALIDAD-EUROPEA
62,CALIDAD-EUROPEA2,CALIDAD-EUROPEA2
63,CALIDAD-EUROPEA3,CALIDAD-EUROPEA3
64,CAMBIOS,CAMBIOS
65,CARACOLRADIO,CARACOLRADIO
66,CHICA1,CHICA1
67,CHICA2,CHICA2
68,CHICA3,CHICA3
69,CHICO1,CHICO1
70,CHICO2,CHICO2
71,CHICO3,CHICO3
72,CIENCIA DE DATOS,CIENCIA-DATOS
73,COMPOSICION MUSICAL,COMPO-MUSICAL
74,CUA,CUA
75,CUOTAS-DESDE,CUOTAS-DESDE
76,CURS-BlogProfesional,CURS-BLOGPROFESIONAL
77,CURS-FamiliayMenores,CURS-FAMILIAYMENORES
78,CURS-PeritajePsic,CURS-PERITAJEPSIC
79,DAM,DAM
80,DAW,DAW
81,DESCUENTO,DESCUENTO
82,DOCTORA,DOCTORA
83,DURACIÓN,DURACION
84,EDUCAWEEK,EDUCAWEEK
85,El-CAMBIO-ESTA-EN-TI,El-CAMBIO-ESTA-EN-TI
86,ELIGE,ELIGE
87,ELPAIS,ELPAIS
88,EMPLEABILIDAD,EMPLEABILIDAD
89,EMPLEO,EMPLEO
90,EMPRESARIA,EMPRESARIA
91,EMPRESARIA2,EMPRESARIA2
92,Equipos,EQUIPOS
93,ESPECIALIZACION-AMERICANA-1,ESPE-AMERICA-1
94,ESPECIALIZACION-AMERICANA-2,ESPE-AMERICA-2
95,EXP-BasesPsicForense,EXP-BASESPSICFORENSE
96,EXP-InterPsicForense,EXP-INTERPSICFORENSE
97,FINANCIACIÓN,FINANCIACION
98,FINANCIACION-FLEXIBLE,FINANCIACION-FLEXIBLE
99,FIN-CONVOCATORIA,FIN-CONVOCATORIA
100,FORMACION-CTA-DTO,FORMACION-CTA-DTO
101,FORMACION-CTA-INF,FORMACION-CTA-INF
102,GENERICA,GEN
103,GENERICA2,GEN2
104,GENERICA3,GEN3
105,GESTIÓN DE EQUIPOS,GESTION-EQUIPOS
106,GRADUACIÓN,GRADUACION
107,GRADUACION-V15 ,GRADUACION-V15 
108,GRADUACION-V3,GRADUACION-V3
109,HUMANIDADES,HM
110,HUMANIDADES-V1,HM-V1
111,HUMANIDADES-V2,HM-V2
112,IA,IA
113,INFORMATICA,INFORMATICA
114,INGENIERA,INGENIERA
115,INICIO-CONVOCATORIA-V1,INICIO-CONV-V1
116,INICIO-CONVOCATORIA-V2,INICIO-CONV-V2
117,INICIO-INMEDIATO-1,INICIO-INMED-1
118,INICIO-INMEDIATO-2,INICIO-INMED-2
119,INICO-CONVOCATORIA,INICO-CONVOCATORIA
120,INSCRIPCION-GRATIS,INSCRIPCION-GRATIS
121,LAFUERZA,LAFUERZA
122,LAFUERZA-TEXTO,LAFUERZA-TEXTO
123,LAFUERZA-V1,LAFUERZA-V1
124,LAFUERZA-V2,LAFUERZA-V2
125,LAFUERZA-V3,LAFUERZA-V3
126,LAFUERZA-V4,LAFUERZA-V4
127,LAFUERZA-V4-DYN,LAFUERZA-V4-DYN
128,Lean Management,LEAN-MGMT
129,LIDERAZGO,LIDERAZGO
130,MAESTRA ,MAESTRA
131,MAESTRA2,MAESTRA2
132,MEJORA-CTA-DTO,MEJORA-CTA-DTO
133,MEJORA-CTA-INF,MEJORA-CTA-INF
134,Metodologias Agiles,MET-AGIL
135,MIU,MIU
136,MIU-V1,MIU-V1
137,MIU-V2,MIU-V2
138,MIU-V3,MIU-V3
139,MIX,MIX
140,MKT-PUBL,MKT-PUBL
141,MOTIVACIONAL1,MOTIVACIONAL1
142,MOTIVACIONAL2,MOTIVACIONAL2
143,MUSICOLOGIA,MUSICOLOGIA
144,N\A,X
145,OFICIALIDAD,OFICIALIDAD
146,ONLINE,ONLINE
147,ONLINE2,ONLINE2
148,ONLINE3,ONLINE3
149,OPENCLASS,OPENCLASS
150,PLAZAS-LIMITADAS,PLAZAS-LIMITADAS
151,PMP,PMP
