id,name,abbreviation,channel_id
1,1080x1350,1080x1350,4
2,1080x1920,1080x1920,4
3,120x600,120x600,4
4,160x600,160x600,4
5,1x1,1X1,4
6,200x200,200x200,4
7,300x100,300x100,4
8,300x250,300x250,4
9,300x400,300x400,4
10,300x600,300x600,4
11,320x100,320x100,4
12,320x480,320x480,4
13,320x50,320x50,4
14,336x280,336x280,4
15,468x60,468x60,4
16,728x90,728x90,4
17,750x1334,750x1334,4
18,800x600,800x600,4
19,970x250,970x250,4
20,970x90,970x90,4
21,980x250,980x250,4
22,cc,CC,4
23,MIX,MIX,4
24,VAST,VAST,4
25,1024x768,1024x768,2
26,1070x140,1070x140,2
27,1080x1080,1080x1080,2
28,1080x1350,1080x1350,2
29,1080x1920,1080x1920,2
30,1200x627,1200x627,2
31,120x600,120x600,2
32,160x600,160x600,2
33,1920x1080,1920x1080,2
34,1920x1112,1920x1112,2
35,1x1,1X1,2
36,200x200,200x200,2
37,200x800,200x800,2
38,240x600,240x600,2
39,250x250,250x250,2
40,250x360,250x360,2
41,300x100,300x100,2
42,300x200,300x200,2
43,300x250,300x250,2
44,300x300,300x300,2
45,300x400,300x400,2
46,300x50,300x50,2
47,300x600,300x600,2
48,300x90,300x90,2
49,320x100,320x100,2
50,320x480,320x480,2
51,320x50,320x50,2
52,320x600,320x600,2
53,320x90,320x90,2
54,336x280,336x280,2
55,350x350,350x350,2
56,468x60,468x60,2
57,500x300,500x300,2
58,560x600,560x600,2
59,564x100,564x100,2
60,576x188,576x188,2
61,580x480,580x480,2
62,600x120,600x120,2
63,627x627,627x627,2
64,640x360,640x360,2
65,640x480,640x480,2
66,728x300,728x300,2
67,728x60,728x60,2
68,728x90,728x90,2
69,740x150,740x150,2
70,750x1334,750x1334,2
71,800x600,800x600,2
72,840x200,840x200,2
73,970x250,970x250,2
74,970x90,970x90,2
75,980x250,980x250,2
76,980x90,980x90,2
77,MIX,MIX,2
78,1x1,1X1,7
79,html,HTML,7
80,MIX,MIX,7
81,1x1,1X1,8
82,html,HTML,8
83,MIX,MIX,8
84,MIX,MIX,11
85,N\A,X,11
86,1080x1350,1080x1350,12
87,1080x1920,1080x1920,12
88,120x600,120x600,12
89,160x600,160x600,12
90,1920x1112,1920x1112,12
91,1x1,1X1,12
92,200x200,200x200,12
93,300x100,300x100,12
94,300x250,300x250,12
95,300x400,300x400,12
96,300x600,300x600,12
97,320x100,320x100,12
98,320x480,320x480,12
99,320x50,320x50,12
100,336x280,336x280,12
101,468x60,468x60,12
102,576x188,576x188,12
103,728x90,728x90,12
104,970x250,970x250,12
105,970x90,970x90,12
106,980x250,980x250,12
107,MIX,MIX,12
108,Amplia,BR,1
109,AmpliMod,MBR,1
110,Exact,EX,1
111,Frase,PH,1
112,MIX,MIX,1
113,N\A,X,13
114,N\A,X,9
115,1080x1350,1080x1350,6
116,1080x1920,1080x1920,6
117,1-91x1,1-91x1,6
118,1x1,1X1,6
119,750x1334,750x1334,6
120,9x16,9x16,6
121,MIX,MIX,6
122,N\A,X,10
123,1x1,1X1,3
124,cc,CC,3
125,MIX,MIX,3
126,VAST,VAST,3
