id,idCurso,idEstudioNormalizadoBI,product_hierarchy_id
1,100047,58,85
2,101286,269,84
3,10181,141,75
4,103557,144,164
5,103562,287,90
6,104045,288,1
7,104046,289,2
8,104708,290,3
9,10509,192,76
10,10519,112,89
11,106670,305,74
12,107019,320,108
13,109074,297,109
14,109076,345,119
15,109076,345,120
16,109076,345,118
17,109076,345,117
18,111414,330,111
19,111423,146,162
20,111944,348,59
21,11209,62,89
22,112188,293,97
23,112217,332,174
24,112218,333,171
25,112219,334,172
26,112306,323,45
27,112307,324,45
28,113596,151,172
29,115361,58,85
30,115692,346,113
31,115693,369,113
32,115697,151,172
33,115801,294,75
34,121153,360,112
35,121186,295,77
36,121188,442,113
37,121676,371,98
38,121702,370,94
39,121804,372,91
40,122230,378,172
41,122231,379,172
42,122232,380,174
43,122233,782,40
44,128468,375,132
45,129998,382,108
46,130010,384,111
47,130057,318,44
48,130144,389,77
49,130492,151,172
50,130494,933,137
51,130618,395,91
52,130619,396,108
53,130620,397,67
54,130900,400,74
55,130999,401,85
56,131001,402,79
57,131003,403,49
58,13300,30,73
59,133499,58,85
60,135197,408,91
61,138762,411,113
62,13945,72,91
63,14078,175,76
64,141686,413,112
65,143289,416,110
66,14500,96,117
67,14500,96,119
68,14500,96,118
69,145596,428,131
70,146034,419,45
71,146477,420,98
72,147355,429,91
73,147451,431,45
74,147451,431,44
75,147452,432,45
76,147452,432,44
77,147572,433,80
78,147573,434,80
79,147574,436,51
80,147575,435,141
81,149621,444,147
82,149657,443,113
83,151390,446,84
84,151635,448,174
85,151636,449,174
86,151637,450,172
87,151639,452,169
88,151948,453,83
89,152989,454,121
90,153545,455,171
91,153546,456,171
92,153547,457,176
93,153548,458,176
94,154517,461,134
95,155187,462,119
96,155187,462,117
97,155187,462,118
98,155187,462,116
99,159491,390,172
100,159890,465,71
101,159932,471,43
102,159934,473,73
103,159937,474,112
104,160363,475,73
105,160364,490,45
106,160365,489,45
107,163657,484,56
108,164755,485,81
109,166670,58,85
110,170326,493,98
111,170339,494,97
112,17086,10,52
113,171200,495,104
114,171200,495,101
115,171200,495,103
116,171201,496,118
117,171201,496,119
118,171202,497,1
119,171203,498,1
120,171638,500,2
121,171666,501,3
122,173054,502,146
123,173055,503,146
124,173339,504,96
125,177467,520,113
126,177486,522,113
127,178849,526,108
128,178889,527,69
129,178890,528,112
130,178900,531,141
131,179052,533,126
132,179053,534,110
133,179360,524,141
134,179469,536,73
135,179520,537,74
136,179521,538,53
137,17979,93,112
138,180233,539,141
139,180237,541,141
140,180238,58,85
141,180239,542,113
142,180244,724,49
143,180843,557,138
144,182635,563,45
145,182637,566,77
146,183143,564,45
147,183848,567,107
148,183849,568,107
149,183850,569,104
150,183850,569,103
151,184153,570,97
152,184676,572,78
153,185516,576,146
154,185517,573,146
155,185518,574,152
156,185975,578,84
157,185976,579,79
158,185977,580,84
159,18802,4,43
160,19050,194,94
161,191197,585,90
162,191386,586,110
163,191387,587,113
164,191388,589,108
165,191390,588,111
166,196551,601,112
167,196722,151,172
168,198821,602,121
169,198822,603,153
170,19921,58,85
171,20127,12,52
172,202024,605,3
173,203811,606,50
174,205876,607,98
175,207737,620,113
176,20985,31,62
177,20987,111,97
178,210169,333,171
179,216803,664,73
180,217130,665,90
181,217642,668,141
182,217644,669,123
183,217645,670,120
184,218185,671,81
185,218186,672,83
186,218813,674,81
187,220546,676,112
188,220547,677,112
