idEstudioNormalizadoBI,EstudioNormalizadoBI,idCurso
58,MBA,100047
269,Comunicación y Marketing Político,101286
141,Intervención Social,10181
144,Licenciatura en Administración de Empresas,103557
287,Diseño Gráfico Digital,103562
288,Nutrición Humana y Dietética (CUNIMAD),104045
289,Psicopedagogía (CUNIMAD),104046
290,Máster en Fisioterapia del dolor cráneo-cervical y orofacial,104708
192,Secundaria + Especialidades,10509
112,E-learning y redes sociales,10519
305,Musicoterapia,106670
320,Máster en Facility BIM Manager,107019
297,E.U. Project Manager CROs,109074
345,"Nutrición, Obesidad y Técnicas Culinarias",109076
345,"Nutrición, Obesidad y Técnicas Culinarias",109076
345,"Nutrición, Obesidad y Técnicas Culinarias",109076
345,"Nutrición, Obesidad y Técnicas Culinarias",109076
330,E.U. Técnica de Litigación en Juicio,111414
146,Licenciatura en Comunicación,111423
348,D.G. en Derecho y Ciencias Políticas,111944
62,Dirección e ingeniería de sitios web,11209
293,Derecho de Familia,112188
332,Maestría en Diseño y Gestión de Proyectos Tecnológicos,112217
333,"Maestría en Aprendizaje, Cognición y Desarrollo Educativo",112218
334,Maestría en Marketing Digital,112219
323,Mención en Educación Física,112306
324,Mención en Educación Musical,112307
151,Maestría en Dirección y Administración de Empresas,113596
58,MBA,115361
346,Programa en Transformación Digital,115692
369,Programa en Dirección y Gestión de la Innovación ,115693
151,Maestría en Dirección y Administración de Empresas,115697
294,Dirección e Intervención Sociosanitaria,115801
360,C.U. Google for education,121153
295,Educación Inclusiva e Intercultural,121186
442,Máster en Marketing Analytics,121188
371,Estudios Avanzados en Terrorismo,121676
370,Inteligencia Artificial,121702
372,Business Process Management (BPM) for Digital Transformation,121804
378,Maestría en Recursos Humanos,122230
379,Maestría en Dirección de Operaciones y Calidad,122231
380,Maestría en Sistemas Integrados de Gestión,122232
782,Teatro,122233
375,E.A. Campañas Electorales,128468
382,E.U. en Desarrollo de Aplicaciones Blockchain,129998
384,E.A. en Prevención de Blanqueo de Capitales,130010
318,Mención en Pedagogía Terapéutica (Educación Especial) - Educación Infantil,130057
389,Métodos de Investigación en Educación,130144
151,Maestría en Dirección y Administración de Empresas,130492
933,Máster de F.P. en Coaching y Mentoring,130494
395,Mecánica de Fluidos Computacional,130618
396,E.U. en Packaging y Ecodiseño Digital,130619
397,E.U. en Investigación en Ciencias de la Computación ,130620
400,Composición Musical con Nuevas Tecnologías,130900
401,MBA Full Time,130999
402,MBA Full Time 100% english,131001
403,Finanzas y Contabilidad,131003
30,Creación de guiones audiovisuales,13300
58,MBA,133499
408,Industria 4.0,135197
411,MBA Executive,138762
72,Diseño y Gestión de Proyectos Tecnológicos,13945
175,Neuropsicología y educación,14078
413,C.U. Metodologías Activas e Innovación Educativa,141686
416,C.U.A. en Desafíos del Orden Global: “El Futuro de Europa”,143289
96,E.U. en Ortopedia para farmacéuticos,14500
96,E.U. en Ortopedia para farmacéuticos,14500
96,E.U. en Ortopedia para farmacéuticos,14500
428,P.A. en Lean Management,145596
419,Mención en Audición - Educación Primaria,146034
420,Derecho del Trabajo y de la Seguridad Social,146477
429,Diseño Industrial y Desarrollo de Producto,147355
431,Maestro en Educación Infantil Bilingüe,147451
431,Maestro en Educación Infantil Bilingüe,147451
432,Maestro en Educación Primaria Bilingüe,147452
432,Maestro en Educación Primaria Bilingüe,147452
433,Dirección Comercial y Ventas,147572
434,Dirección del Comercio Exterior e Internacionalización de Empresas,147573
436,Recursos Humanos y Relaciones Laborales,147574
435,Transformación Digital,147575
444,Pregrado en Ingeniería Informática,149621
443,Programa en Inbound Marketing & Copywriting,149657
446,Dirección de Marketing,151390
448,Maestría en Análisis y Visualización de Datos Masivos,151635
449,Maestría en Ingeniería de Software y sistemas Informáticos,151636
450,Maestría en Neuromarketing,151637
452,Maestría en Teatro y Artes Escénicas,151639
453,Control de Gestión / Controlling,151948
454,Programa en Resolución de Problemas Complejos,152989
455,Maestría en Educación Inclusiva e Intercultural,153545
456,Maestría en Orientación Educativa Familiar,153546
457,Maestría en Dirección y Administración en Salud,153547
458,Maestría en Dirección y Administración de Equipos de Salud,153548
461,E.U. en la Adicción a las Nuevas Tecnologías,154517
462,E.U. en Genética Clínica y Medicina Personalizada,155187
462,E.U. en Genética Clínica y Medicina Personalizada,155187
462,E.U. en Genética Clínica y Medicina Personalizada,155187
462,E.U. en Genética Clínica y Medicina Personalizada,155187
390,International MBA (México/USA) – 100% en línea,159491
465,E.A. en Emprendimiento Digital,159890
471,Educación Social (4 años),159932
473,Estudios Avanzados en Literatura Española y Latinoamericana,159934
474,C.U. Aprendizaje personalizado,159937
475,Gestión y Emprendimiento de Proyectos Culturales,160363
490,D.G. en Primaria y Pedagogía,160364
489,D.G. en Infantil y Pedagogía,160365
484,Matemática Computacional,163657
485,Inteligencia de Negocio,164755
58,MBA,166670
493,Derechos Humanos,170326
494,Asesoría Fiscal,170339
10,C.C. Enseñanza de Geografía e Historia,17086
495,Bioética,171200
495,Bioética,171200
495,Bioética,171200
496,Máster en Anestesia Pediátrica,171201
496,Máster en Anestesia Pediátrica,171201
497,Logopedia (CUNIMAD),171202
498,Óptica y Optometría,171203
500,Salud Visual y Optometría Avanzada,171638
501,Máster en Alimentación y Nutrición,171666
502,Pregrado en Administración de Empresas,173054
503,Pregrado en Contaduría Pública,173055
504,Dirección en la Gestión Pública,173339
520,Programa en RRHH Digital,177467
522,Máster en Dirección Comercial y Ventas,177486
526,Programna en Blockchain aplicado a negocio ,178849
527,E.U. en Didáctica de la Catequesis,178889
528,C.U. ABP y Gamificación en el Aula,178890
531,Esp. en Transformación Digital,178900
533,E.U. Docencia online,179052
534,Máster de F.P. en Persona y Sociedad en Joseph Ratzinger,179053
524,Esp. en Big Data Marketing,179360
536,Humanidades Digitales,179469
537,Gestión Empresarial en la Industria Musical,179520
538,Traducción e Interpretación,179521
93,C.U. en Metodologia CLIL (AICLE),17979
539,Esp. en People Analytics,180233
541,C.U.A. en Business Intelligence,180237
58,MBA,180238
542,Máster en Business Intelligence,180239
724,D.G. en ADE y Finanzas,180244
557,Máster de F.P. en Detective Privado,180843
563,Adaptación Maestro en Educación Primaria,182635
566,Enseñanza de Inglés,182637
564,Adaptación Maestro en Educación Infantil,183143
567,Psicoterapia: Terapias de Tercera Generación,183848
568,Neuropsicología Clínica,183849
569,Avances en Oncología y Hematología Pediátrica,183850
569,Avances en Oncología y Hematología Pediátrica,183850
570,Arbitraje Internacional,184153
572,Atención Temprana y Desarrollo Infantil,184676
576,Pregrado en Marketing y Publicidad,185516
573,Pregrado en Administración de la Seguridad y Salud en el Trabajo,185517
574,Especialización en Alta Gerencia,185518
578,Comunicación Transmedia,185975
579,Inteligencia de Marketing,185976
580,Comunicación y Visualización de Datos,185977
4,Adaptación de trabajo social,18802
